Players_names,Games,Minutes_Per_Game,Win_Share,PPG,RPG,ASG,SPG,BPG,Titles,MVPs,All_Star
" ""Kareem Abdul-Jabbar""",1560,36.8,273.4,24.6,11.2,3.6,0.9,2.9,6,6,19
" ""Alvan Adams""",988,27.5,73.5,14.1,7,4.1,1.3,0.8,0,0,1
" ""Lucius Allen""",702,28.7,42,13.4,3.1,4.5,1.5,0.3,1,0,0
" ""Nate Archibald""",876,35.6,83.4,18.8,2.3,7.4,1.1,0.1,1,0,6
" ""Greg Ballard""",802,27.5,54,12.4,6.1,2.2,1.1,0.3,1,0,0
" ""Rick Barry""",1020,37.4,128.9,24.8,6.7,4.9,2,0.5,1,0,12
" ""Otis Birdsong""",696,31.1,48.2,18,3,3.2,1.2,0.2,0,0,4
" ""Ron Boone""",1041,31.1,59.3,16.8,4.2,3.7,1.3,0.2,1,0,4
" ""Junior Bridgeman""",849,25,45,13.6,3.5,2.4,0.8,0.3,0,0,0
" ""Fred Brown""",963,25.4,63.2,14.6,2.7,3.3,1.4,0.2,1,0,1
" ""Don Buse""",966,27.1,57.1,7.1,2.6,4.6,2,0.2,0,0,2
" ""Mack Calvin""",755,28.6,60.4,16.1,2.5,4.8,1.1,0.1,0,0,5
" ""Maurice Cheeks""",1101,31.6,103.5,11.1,2.8,6.7,2.1,0.3,1,0,4
" ""Jim Chones""",788,30,45.8,12.5,8.2,1.6,0.6,1.1,1,0,0
" ""Michael Cooper""",873,27.1,52.5,8.9,3.2,4.2,1.2,0.6,5,0,0
" ""Dave Cowens""",766,38.6,86.3,17.6,13.6,3.8,1.1,0.9,2,1,8
" ""Lou Dampier""",960,33.5,74.1,15.9,2.6,4.9,0.8,0.3,0,0,7
" ""Bob Dandridge""",839,35.2,80.3,18.5,6.8,3.4,1.3,0.6,2,0,4
" ""Adrian Dantley""",955,35.8,134.2,24.3,5.7,3,1,0.2,0,0,6
" ""Brad Davis""",961,23.2,53.6,8.2,1.8,4.9,0.8,0.2,0,0,0
" ""Walter Davis""",1033,27.9,76.9,18.9,3,3.8,1.2,0.1,0,0,6
" ""Darryl Dawkins""",726,23.7,46.4,12,6.1,1.3,0.5,1.4,0,0,0
" ""John Drew""",739,29.5,68.9,20.7,6.9,1.7,1.4,0.3,0,0,2
" ""James Edwards""",1168,24.3,59.7,12.7,5.1,1.3,0.4,0.7,3,0,0
" ""Alex English""",1193,31.9,100.7,21.5,5.5,3.6,0.9,0.7,0,0,8
" ""Julius Erving""",1243,36.4,181.1,24.2,8.5,4.2,2,1.7,1,4,16
" ""Walt Frazier""",825,37.5,113.5,18.9,5.9,6.1,0.2,2.1,2,0,7
" ""World Free""",886,30.4,67.7,20.3,2.7,3.7,1,0.3,0,0,1
" ""George Gervin""",1060,33.6,116.3,25.1,5.3,2.6,1.2,1,0,0,12
" ""Artis Gilmore""",1329,35.5,189.7,18.8,12.3,2.3,0.6,2.4,0,1,11
" ""Rickey Green""",942,24.6,47.2,9.4,1.9,5.5,1.4,0.1,0,0,1
" ""Elvin Hayes""",1303,38.4,120.8,21,12.5,1.8,1,1,1,0,12
" ""Spencer Haywood""",844,34.8,78.5,20.3,10.3,1.8,0.6,1.1,1,1,5
" ""Dan Issel""",1218,34.3,157.8,22.6,9.1,2.4,1,0.5,0,0,7
" ""Dennis Johnson""",1100,32.7,82.6,14.1,3.9,5,1.3,0.6,3,0,5
" ""Eddie Johnson""",1199,27.2,65.6,16,4,2.1,0.6,0.2,0,0,0
" ""Marques Johnson""",691,34.3,79.8,20.1,7,3.6,1.3,0.8,0,0,5
" ""Mickey Johnson""",904,27.7,58.6,14.1,7.2,3,1.1,0.7,0,0,0
" ""Bobby Jones""",941,27.3,94.1,12.1,6.2,2.7,1.5,1.4,1,0,5
" ""Caldwell Jones""",1299,27,66.2,7.9,8.2,1.4,0.5,1.8,0,0,1
" ""Rich Kelley""",814,21.8,42.5,7.6,7,2.6,0.9,0.9,0,0,0
" ""Larry Kenon""",752,32.6,58.5,17.2,8.9,2.2,1.3,0.3,0,0,5
" ""Bernard King""",874,33.7,22.5,75.4,22.5,3.3,1,0.3,0,0,4
" ""Billy Knight""",821,28.9,63.9,16.9,5.3,2.3,1,0.2,0,0,3
" ""Sam Lacey""",1002,31.8,50.9,10.3,9.7,3.7,1.3,1.5,0,0,1
" ""Bob Lanier""",959,33.5,117.1,20.1,10.1,3.1,1.1,1.5,0,0,8
" ""John Lucas""",928,27.5,53.7,10.7,2.3,7,1.4,0.1,0,0,0
" ""Maurice Lucas""",1021,29.5,69,14.6,9.1,2.4,0.8,0.6,1,0,5
" ""Moses Malone""",1455,34,179.1,20.3,12.3,1.3,0.8,1.3,1,3,13
" ""Pete Maravich""",658,37,46.7,24.2,4.2,5.4,1.4,0.3,0,0,5
" ""Cedric Maxwell""",835,28.5,78.5,12.5,6.3,2.2,0.8,0.5,2,0,0
" ""Bob McAdoo""",852,33.2,89.1,22.1,9.4,2.3,1,1.5,2,1,5
" ""George McGinnis""",842,33.5,74.6,20.2,11,3.7,1.9,0.5,0,1,6
" ""Mike Mitchell""",759,32.3,50.2,19.8,5.6,1.3,0.7,0.5,0,0,1
" ""Steve Mix""",788,23.9,57.6,10.6,5.3,1.8,1.2,0.2,0,0,1
" ""Earl Monroe""",926,32,77.4,18.8,3,3.9,1,0.3,1,0,4
" ""Calvin Murphy""",1002,30.5,84.1,17.9,2.1,4.4,1.5,0.1,0,0,1
" ""Swen Nater""",722,28.7,58.5,12.4,11.6,1.7,0.5,0.6,0,0,2
" ""Mike Newlin""",837,29.4,50.4,14.9,3,4,1,0.1,0,0,0
" ""Norm Nixon""",768,35.5,47.6,15.7,2.6,8.3,1.5,0.1,2,0,2
" ""Mark Olberding""",946,25,48,9.5,5.3,2.5,0.7,0.3,0,0,0
" ""Tom Owens""",877,23.8,61.5,11.3,6.8,1.7,0.5,0.6,0,0,0
" ""Robert Parish""",1611,28.4,147,14.5,9.1,1.4,0.8,1.5,4,0,9
" ""Billy Paultz""",1124,27,70.4,11.7,8,2,0.5,1.5,0,0,3
" ""Clifford Ray""",784,25.4,56.7,7.4,8.9,2.2,0.8,1,1,0,0
" ""Robert Reid""",919,27.3,40.3,11.4,4.5,2.7,1.1,0.4,0,0,0
" ""Truck Robinson""",772,32.6,52.7,15.5,9.4,1.7,0.7,0.7,0,0,2
" ""Dave Robisch""",930,24.5,64.2,11.4,6.6,1.8,0.5,0.5,0,0,0
" ""Tree Rollins""",1156,20.8,63.9,5.4,5.8,0.6,0.4,2.2,0,0,0
" ""Dan Roundfield""",813,29.8,66.5,14.3,9.2,2,0.9,1.4,0,0,3
" ""Charlie Scott""",717,35.6,41.4,20.7,4,4.9,1.3,0.3,1,0,5
" ""Purvis Short""",842,29.2,51.1,17.3,4.3,2.5,1,0.2,0,0,0
" ""Jack Sikma""",1107,33.4,112.5,15.6,9.8,3.2,1,0.9,1,0,7
" ""James Silas""",685,29.7,60.3,16.1,3,3.8,1,0.2,0,0,2
" ""Paul Silas""",1254,27.9,79.9,9.4,9.9,2.1,0.6,0.2,3,0,2
" ""Phil Smith""",659,29.1,41.1,15.1,3,3.9,1.1,0.3,1,0,2
" ""Randy Smith""",976,32.2,60.1,16.7,3.7,4.6,1.7,0.1,0,0,2
" ""Brian Taylor""",601,31.9,46.8,13.1,2.7,4.1,2.1,0.3,0,0,2
" ""Reggie Theus""",1026,33.7,66.9,18.5,3.3,6.3,1.2,0.2,0,0,2
" ""David Thompson""",592,32.8,63.3,22.7,4.1,3.3,1,0.9,0,0,5
" ""Mychal Thompson""",935,29.7,59.1,13.7,7.4,2.3,0.7,1.1,2,0,0
" ""Rudy Tomjanovich""",768,33.5,70.4,17.4,8.1,2,0.7,0.3,0,0,5
" ""Terry Tyler""",871,25,40.8,10.2,5.4,1.2,0.9,1.5,0,0,0
" ""Wes Unseld""",984,36.4,110.1,10.8,14,3.9,1.1,0.6,1,1,5
" ""Scott Wedman""",906,28.6,53.7,13.2,4.8,2,0.9,0.3,2,0,2
" ""Paul Westphal""",823,25.5,67.7,15.6,1.9,4.4,1.3,0.3,1,0,5
" ""Jojo White""",837,35.8,54,17.2,4,4.9,1.3,0.2,2,0,7
" ""Sidney Wicks""",760,33.9,42.4,16.8,8.7,3.2,1,0.7,0,0,4
" ""Jamaal Wilkes""",828,32.9,71.3,17.7,6.2,2.5,1.3,0.3,4,0,3
" ""Gus Williams""",825,31.1,67.9,17.1,2.7,5.6,2,0.4,1,0,2
" ""Larry Bird""",897,38.4,145.8,24.3,10,6.3,1.7,0.8,3,3,12
" ""Bill Cartwright""",963,28.5,72.8,13.2,6.3,1.4,0.5,0.7,3,0,1
" ""David Greenwood""",823,28.4,46.4,10.2,7.9,2,0.7,0.9,1,0,0
" ""Magic Johnson""",906,36.7,155.8,19.5,7.2,11.2,1.9,0.4,5,3,12
" ""Vinnie Johnson""",984,24.7,50.8,12,3.2,3.3,0.9,0.3,2,0,0
" ""Sidney Moncrief""",767,30.2,90.3,15.6,4.7,3.6,1.2,0.3,0,0,5
" ""Calvin Natt""",599,31.4,57.2,17.2,6.8,2.2,0.9,0.3,0,0,1
" ""Jim Paxson""",784,27.2,53.7,14.3,2,2.9,1.2,0.1,0,0,2
" ""James Donaldson""",957,27.4,62.3,8.6,7.8,0.8,0.4,1.3,0,0,1
" ""Mike Gminski""",938,25.6,55.9,11.7,6.9,1.3,0.5,1.1,0,0,0
" ""Bill Laimbeer""",1068,31.8,105.6,12.9,9.7,2,0.7,0.9,2,0,4
" ""Rick Mahorn""",1117,23.1,51.7,6.9,6.2,1,0.6,0.9,1,0,0
" ""Kevin McHale""",971,31,113,17.9,7.3,1.7,0.4,1.7,3,0,7
" ""Larry Smith""",883,25.9,46,6.7,9.2,1.1,0.8,0.5,0,0,0
" ""Kiki Vandeweghe""",810,30.3,75.6,19.7,3.4,2.1,0.6,0.3,0,0,2
" ""Mark Aguirre""",923,30,67.8,20,5,3.1,0.7,0.3,2,0,3
" ""Danny Ainge""",1042,26.6,71.5,11.5,2.7,4,1.1,0.1,2,0,1
" ""Rolando Blackman""",980,32.7,75.6,18,3.3,3,0.7,0.3,0,0,4
" ""Larry Nance""",920,33.4,109.6,17.1,8,2.6,0.9,2.2,0,0,3
" ""Dan Schayes""",1138,19.3,48.8,7.7,5,1.1,0.5,0.7,0,0,0
" ""Isiah Thomas""",979,36.3,80.7,19.2,3.6,9.3,1.9,0.3,2,0,12
" ""Kelly Tripucka""",707,29.6,44.4,17.2,3.8,3,1,0.2,0,0,2
" ""Buck Williams""",1307,32.5,120.1,12.8,10,1.3,0.8,0.8,0,0,3
" ""Orlando Woolridge""",851,28.3,53,16,4.3,1.9,0.6,0.7,0,0,0
" ""Terry Cummings""",1183,28.7,91.1,16.4,7.3,1.9,1.1,0.5,0,0,2
" ""Mark Eaton""",875,28.8,44.8,6,7.9,1,0.4,3.5,0,0,1
" ""Sleepy Floyd""",957,27.6,50.6,12.8,2.6,5.4,1.2,0.2,0,0,1
" ""Lafayette Lever""",752,31.7,61.2,13.9,6,6.2,2.2,0.3,0,0,2
" ""Cliff Levingston""",830,20.4,44.2,7.1,5.2,0.9,0.6,0.7,2,0,0
" ""Ricky Pierce""",969,24.4,72.2,14.9,2.4,1.9,0.8,0.2,0,0,1
" ""Paul Pressey""",724,27.2,49,10.6,3.9,5.1,1.4,0.6,0,0,0
" ""Dominique Wilkins""",1074,35.5,117.5,24.8,6.7,2.5,1.3,0.6,0,0,9
" ""James Worthy""",926,32.4,81.2,17.6,5.1,3,1.1,0.7,3,0,7
" ""Thurl Bailey""",928,26.8,45,12.8,5.1,1.4,0.5,1.2,0,0,0
" ""Clyde Drexler""",1086,34.6,135.6,20.4,6.1,5.6,2,0.7,1,0,10
" ""Craig Ehlo""",873,24.1,41.2,8.6,3.6,2.8,1.1,0.3,0,0,0
" ""Dale Ellis""",1209,28.8,84.7,15.7,3.5,1.4,0.8,0.2,0,0,1
" ""Derek Harper""",1199,31.5,86.8,13.3,2.4,5.5,1.6,0.3,0,0,0
" ""Jeff Malone""",905,32.8,54.2,19,2.5,2.4,0.6,0.1,0,0,2
" ""Rodney McCray""",768,32.4,56,11.7,6.6,3.6,0.8,0.6,1,0,0
" ""Doc Rivers""",864,27.3,68.2,10.9,3,5.7,1.8,0.4,0,0,1
" ""Byron Scott""",1073,28.1,75.2,14.1,2.8,2.5,1.1,0.3,3,0,0
" ""Sedale Threatt""",951,23.6,48,9.8,1.8,3.8,1.2,0.1,0,0,0
" ""Mark West""",1090,18.5,41.9,5.7,4.9,0.4,0.3,1.3,0,0,0
" ""Charles Barkley""",1073,36.7,177.2,22.1,11.7,3.9,1.5,0.8,0,1,11
" ""Michael Cage""",1140,26.1,74.4,7.3,7.6,0.9,0.9,0.6,0,0,0
" ""Antoine Carr""",987,20,42.1,9.3,3.4,1.1,0.4,0.9,0,0,0
" ""Vern Fleming""",893,27.7,52,11.3,3.4,4.8,1,0.1,0,0,0
" ""Jay Humphries""",788,29.3,45,11.1,2.5,5.5,1.5,0.1,0,0,0
" ""Michael Jordan""",1072,38.3,214,30.1,6.2,5.3,2.3,0.8,6,5,14
" ""Jerome Kersey""",1153,24.4,69.5,10.3,5.5,1.9,1.2,0.7,1,0,0
" ""Hakeem Olajuwon""",1238,35.7,162.8,21.8,11.1,2.5,1.7,3.1,2,1,12
" ""Sam Perkins""",1285,28.5,105.4,11.6,6,1.5,0.9,0.7,0,0,0
" ""Alvin Robertson""",779,31.7,52.1,14,5.2,5,2.7,0.4,0,0,4
" ""John Stockton""",1504,31.8,207.7,13.1,2.7,10.5,2.2,0.2,0,0,10
" ""Otis Thorpe""",1257,31.7,106/4,14,8.2,2.2,0.7,0.4,1,0,1
" ""Kevin Willis""",1424,26.9,81.8,12.1,8.4,0.9,0.7,0.5,1,0,1
" ""Michael Adams""",653,31.3,46.9,14.7,2.9,6.4,1.7,0.1,0,0,1
" ""Tyrone Corbin""",1065,26,56.5,9.2,4.7,1.8,1.2,0.3,0,0,0
" ""Joe Dumars""",1018,34.5,86.2,16.1,2.2,4.5,0.9,0.1,2,0,6
" ""Patrick Ewing""",1183,34.3,126.4,21,9.8,1.9,1,2.4,0,0,11
" ""A.C. Green""",1278,28.6,99.5,9.6,7.4,1.1,0.8,0.4,3,0,1
" ""Karl Malone""",1476,37.2,234.6,25,10.1,3.6,1.4,0.8,0,2,14
" ""Xavier McDaniel""",870,29,47.8,15.6,6.1,2,0.9,0.5,0,0,1
" ""Chris Mullin""",986,32.6,93.1,18.2,4.1,3.5,1.6,0.6,0,0,5
" ""Charles Oakley""",1282,31.4,89.7,9.7,9.5,2.5,1.1,0.3,0,0,1
" ""Ed Pinckney""",793,19.8,42.7,6.8,5,0.9,0.8,0.5,0,0,0
" ""Terry Porter""",1274,27.8,110.4,12.2,3,5.6,1.2,0.1,0,0,2
" ""Detlef Schrempf""",1136,29.6,109.5,13.9,6.2,3.4,0.8,0.3,0,0,3
" ""Wayman Tisdale""",840,28.4,45.7,15.3,6.1,1.3,0.6,0.6,0,0,0
" ""Spud Webb""",814,24.9,40.2,9.9,2.1,5.3,1.1,0.1,0,0,0
" ""Dell Curry""",1083,21.7,41.5,11.7,2.4,1.8,0.9,0.2,0,0,0
" ""Brad Daugherty""",548,36.5,65.2,19,9.5,3.7,0.8,0.7,0,0,5
" ""Ron Harper""",1009,30.9,65.8,13.8,4.3,3.9,1.7,0.7,5,0,0
" ""Jeff Hornacek""",1077,31.5,108.9,14.5,3.4,4.9,1.4,0.2,0,0,1
" ""Johnny Newman""",1159,512,50.3,11,2.2,1.5,0.9,0.2,0,0,0
" ""Mark Price""",722,29.9,71.1,15.2,2.6,6.7,1.2,0.1,0,0,4
" ""Dennis Rodman""",911,31.7,89.8,7.3,13.1,1.8,0.7,0.6,5,0,2
" ""John Salley""",748,228,41.5,7,4.5,1.2,0.6,1.3,4,0,0
" ""Hot Rod Williams""",887,29.7,70.5,11,6.8,1.8,0.8,1.6,0,0,0
" ""Muggsy Bogues""",889,28.6,54,7.7,2.6,7.6,1.5,0,0,0,0
" ""Armen Gilliam""",929,28.4,58.1,13.7,6.9,1.2,0.7,0.7,0,0,0
" ""Horace Grant""",1165,33.2,118.2,11.2,8.1,2.2,1,1,4,0,1
" ""Mark Jackson""",1296,30.2,91.8,9.6,3.8,8,1.2,0.1,0,0,1
